color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
Color,Ti West,292.0,101.0,243.0,74.0,Jake Ryan,969.0,77501.0,Horror,Lena Dunham,The Innkeepers ,27260.0,1252.0,Pat Healy,0.0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,247.0,English,USA,R,750000.0,2011.0,128.0,5.5,2.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,David S. Goyer,178.0,89.0,687.0,389.0,Atticus Shaffer,10000.0,42638165.0,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,The Unborn ,42183.0,12183.0,Rachel Brosnahan,1.0,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,230.0,English,USA,PG-13,16000000.0,2009.0,787.0,4.8,2.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Bernardo Bertolucci,120.0,106.0,973.0,48.0,Stefania Sandrelli,319.0,,Drama,Jean-Louis Trintignant,The Conformist ,17813.0,500.0,Dominique Sanda,1.0,fascist|gun|italy|nudity|sexuality,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,101.0,Italian,Italy,R,750000.0,1970.0,90.0,8.1,1.66,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Neil Burger,31.0,88.0,168.0,21.0,Christel Khalil,108.0,47329.0,Drama,Raymond J. Barry,Interview with the Assassin ,1661.0,243.0,Renee Faia,0.0,conspiracy theory|kennedy assassination|mock documentary|paranoia,http://www.imdb.com/title/tt0308411/?ref_=fn_tt_tt_1,31.0,English,USA,R,750000.0,2002.0,72.0,6.6,1.78,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Oliver Blackburn,114.0,99.0,4.0,201.0,Nichola Burley,1000.0,18378.0,Crime|Drama|Horror|Thriller,Julian Morris,Donkey Punch ,9376.0,1558.0,Tom Burke,0.0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,74.0,English,UK,R,900000.0,2008.0,233.0,5.2,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Jonathan Levine,233.0,90.0,129.0,280.0,Michael Welch,935.0,,Horror,Luke Grimes,All the Boys Love Mandy Lane ,25951.0,2170.0,Whitney Able,1.0,drugs|female nudity|party|voyeur|voyeurism,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,129.0,English,USA,R,750000.0,2006.0,611.0,5.6,2.35,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Christopher Hutson,8.0,95.0,3.0,118.0,Jennifer Lee Wiggins,717.0,,Horror,Dichen Lachman,Bled ,851.0,1117.0,Michele Morrow,0.0,artist|blood|drug|tree sap|vampire,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,30.0,English,USA,R,750000.0,2009.0,134.0,3.1,1.85,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Black and White,Fred Zinnemann,153.0,85.0,160.0,433.0,Lloyd Bridges,998.0,,Thriller|Western,Gary Cooper,High Noon ,80193.0,2496.0,Lon Chaney Jr.,0.0,appeasement|frontier justice|justice|one against many|street shootout,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,333.0,English,USA,PG,750000.0,1952.0,575.0,8.1,1.37,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Steve James,53.0,170.0,23.0,2.0,Arthur Agee,7.0,7830611.0,Documentary|Drama|Sport,William Gates,Hoop Dreams ,18980.0,15.0,Isiah Thomas,0.0,athlete|basketball|high school|high school student|school,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,74.0,English,USA,PG-13,700000.0,1994.0,6.0,8.3,1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,David LaChapelle,49.0,86.0,30.0,14.0,Christopher Toler,262.0,3278611.0,Documentary|Music,Kevin Scott Richardson,Rize ,2877.0,321.0,Tommy the Clown,0.0,clown|clowning|dance|gang|south central los angeles,http://www.imdb.com/title/tt0436724/?ref_=fn_tt_tt_1,46.0,English,USA,PG-13,,2005.0,23.0,7.1,1.33,903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Joseph Kosinski,4.0,,364.0,567.0,Lauren Cohan,22000.0,,Action|Adventure|Fantasy|Sci-Fi,Peter Dinklage,Destiny ,3089.0,26578.0,Erick Avari,0.0,first person shooter,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1,11.0,English,USA,,,2014.0,4000.0,8.1,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Michael Cuesta,64.0,97.0,52.0,36.0,Bruce Altman,80.0,1141829.0,Crime|Drama,Adam LeFevre,L.I.E. ,8509.0,209.0,Walter Masterson,1.0,ephebophile|pederasty|pedophilia|playing hooky|shaving,http://www.imdb.com/title/tt0242587/?ref_=fn_tt_tt_1,109.0,English,USA,NC-17,700000.0,2001.0,67.0,7.2,1.85,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Caryn Waechter,23.0,104.0,0.0,195.0,Kara Hayward,601.0,,Drama|Mystery|Thriller,Laura Fraser,The Sisterhood of Night ,1354.0,1581.0,Louis Ozawa Changchien,,accused of witchcraft|based on short story,http://www.imdb.com/title/tt1015471/?ref_=fn_tt_tt_1,17.0,English,USA,PG-13,1000000.0,2014.0,524.0,6.3,2.35,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Emily Dell,8.0,88.0,0.0,311.0,Wesley Jonathan,618.0,,Drama|Music|Romance,Aimee Garcia,B-Girl ,551.0,2476.0,Drew Sidora,0.0,brooklyn new york city|los angeles california|teacher|trauma|violence,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,10.0,English,USA,PG-13,,2009.0,592.0,4.0,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Peter Jackson,446.0,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,316027.0,7122.0,Evan Parke,0.0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,918.0,7.2,2.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Jaume Collet-Serra,228.0,108.0,174.0,324.0,Paris Hilton,730.0,32048809.0,Horror,Robert Ri'chard,House of Wax ,94463.0,2160.0,Brian Van Holt,0.0,brother sister relationship|group of friends|male nudity|twin|wax,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,576.0,English,Australia,R,30000000.0,2005.0,716.0,5.3,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Ryan Fleck,208.0,106.0,31.0,71.0,Tristan Mack Wilds,33000.0,2694973.0,Drama,Ryan Gosling,Half Nelson ,70885.0,33734.0,Jeff Lima,2.0,bathroom|classroom|dialectics|drugs|student,http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1,189.0,English,USA,R,700000.0,2006.0,519.0,7.2,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Jennifer Wynne Farmer,2.0,107.0,0.0,236.0,Akima,752.0,10508.0,Drama,Irene Bedard,Naturally Native ,103.0,1763.0,Max Gail,4.0,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,http://www.imdb.com/title/tt0133117/?ref_=fn_tt_tt_1,6.0,English,USA,PG-13,700000.0,1998.0,282.0,6.5,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Christopher Scott Cherot,25.0,84.0,21.0,48.0,Robinne Lee,465.0,2301777.0,Comedy,Hill Harper,Hav Plenty ,819.0,714.0,Chenoa Maxwell,2.0,friend|new year's eve|screwball|self discovery|social differences,http://www.imdb.com/title/tt0126938/?ref_=fn_tt_tt_1,36.0,English,USA,R,650000.0,1997.0,170.0,6.5,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,H.M. Coakley,8.0,91.0,0.0,137.0,Steffinnie Phrommany,696.0,,Crime|Drama|Thriller,Mehcad Brooks,Adulterers ,514.0,1210.0,Danielle Savre,3.0,cheating husband|female nudity|male nudity|male rear nudity|revenge,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,1.0,English,USA,,750000.0,2015.0,320.0,4.9,2.35,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Black and White,Randy Moore,143.0,90.0,13.0,432.0,Lee Armstrong,977.0,169719.0,Fantasy|Horror,Trey Loney,Escape from Tomorrow ,7384.0,2483.0,Amy Lucas,0.0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,http://www.imdb.com/title/tt2187884/?ref_=fn_tt_tt_1,79.0,English,USA,Not Rated,,2013.0,511.0,5.2,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Chris Atkins,21.0,103.0,2.0,442.0,Harvey Weinstein,628.0,,Documentary,Richard Curtis,Starsuckers ,474.0,1683.0,Elton John,0.0,celebrity|consumerism|fashion|media manipulation,http://www.imdb.com/title/tt1510934/?ref_=fn_tt_tt_1,8.0,English,UK,,400000.0,2009.0,474.0,7.4,,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Bill Benenson,1.0,71.0,0.0,21.0,Dave Fennoy,1000.0,,Documentary,Alfre Woodard,The Hadza: Last of the First ,5.0,1359.0,Jane Goodall,1.0,east africa|hunter gatherer|indigenous|rift valley|swahili,http://www.imdb.com/title/tt2139721/?ref_=fn_tt_tt_1,1.0,English,USA,,650000.0,2014.0,338.0,7.4,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Ryan Smith,34.0,90.0,4.0,258.0,Madison Lintz,523.0,,Fantasy|Horror|Mystery|Thriller,Sandra Ellis Lafferty,After ,3699.0,1553.0,Karolina Wydra,0.0,coma|crash,http://www.imdb.com/title/tt1799508/?ref_=fn_tt_tt_1,27.0,English,USA,PG-13,650000.0,2012.0,385.0,5.4,2.35,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Travis Romero,5.0,67.0,4.0,2000.0,Lorraine Ziff,260000.0,,Drama|Thriller,Matthew Ziff,Treachery ,344.0,283939.0,Michael Biehn,5.0,panties|white panties,http://www.imdb.com/title/tt2380301/?ref_=fn_tt_tt_1,5.0,English,USA,,625000.0,2013.0,21000.0,3.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Anna Mastro,10.0,94.0,7.0,912.0,Justin Kirk,956.0,,Comedy|Drama,Leven Rambin,Walter ,1432.0,4767.0,Virginia Madsen,2.0,based on short film|based on short story,http://www.imdb.com/title/tt2016335/?ref_=fn_tt_tt_1,19.0,English,USA,,700000.0,2015.0,945.0,5.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Black and White,Mark Sandrich,66.0,81.0,10.0,23.0,Edward Everett Horton,610.0,3000000.0,Comedy|Musical|Romance,Ginger Rogers,Top Hat ,13269.0,824.0,Eric Blore,2.0,dance|dancer|dancing|horse|tap dancing,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,98.0,English,USA,Approved,609000.0,1935.0,172.0,7.8,1.37,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Black and White,Daniel Myrick,360.0,81.0,19.0,39.0,Joshua Leonard,170.0,140530114.0,Horror,Heather Donahue,The Blair Witch Project ,186786.0,399.0,Michael C. Williams,0.0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,http://www.imdb.com/title/tt0185937/?ref_=fn_tt_tt_1,3400.0,English,USA,R,60000.0,1999.0,170.0,6.4,1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Michael Wadleigh,53.0,215.0,14.0,136.0,Jimi Hendrix,262.0,13300000.0,Documentary|History|Music,Joe Cocker,Woodstock ,12631.0,778.0,Joan Baez,0.0,drugs|hippie|music festival|the who|woodstock,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,63.0,English,USA,R,600000.0,1970.0,227.0,8.1,2.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,John Landis,82.0,83.0,644.0,11.0,Barry Dennen,119.0,,Comedy,David Zucker,The Kentucky Fried Movie ,13915.0,190.0,Tara Strohmeier,0.0,fake commercial|fake newscast|fake trailer|parody|spoof,http://www.imdb.com/title/tt0076257/?ref_=fn_tt_tt_1,109.0,English,USA,R,650000.0,1977.0,29.0,6.5,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Jon Gunn,15.0,106.0,16.0,254.0,David A.R. White,602.0,171988.0,Action|Crime|Drama,Stacy Keach,Mercy Streets ,448.0,1281.0,Cynthia Watros,1.0,church|cigarette smoking|deacon|twin brother|twins,http://www.imdb.com/title/tt0243415/?ref_=fn_tt_tt_1,16.0,English,USA,PG-13,600000.0,2000.0,266.0,5.6,1.85,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Gene Teigland,,103.0,0.0,20.0,Matthew Feeney,23.0,23616.0,Mystery|Thriller,Kendyl Joi,Arnolds Park ,94.0,85.0,Tac Fitzgerald,4.0,,http://www.imdb.com/title/tt1074931/?ref_=fn_tt_tt_1,4.0,English,USA,PG-13,600000.0,2007.0,20.0,5.6,1.78,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Scott Ziehl,18.0,90.0,4.0,218.0,Jason London,919.0,13493.0,Drama,William Smith,Broken Vessels ,531.0,2288.0,Brent David Fraser,0.0,independent film|katana sword|los angeles storm drain,http://www.imdb.com/title/tt0149964/?ref_=fn_tt_tt_1,19.0,English,USA,R,600000.0,1998.0,711.0,6.6,1.85,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Richard Montoya,,88.0,12.0,359.0,Angela Nordeng,601.0,79043.0,Crime|Drama,Nicholas Gonzalez,Water & Power ,85.0,2241.0,Exie Booker,0.0,,http://www.imdb.com/title/tt2052015/?ref_=fn_tt_tt_1,,English,USA,Not Rated,,2013.0,371.0,6.3,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Johanna Schwartz,22.0,105.0,0.0,0.0,Garba Touré,0.0,,Documentary,Aliou Touré,They Will Have to Kill Us First ,74.0,0.0,Khaira Arby,3.0,,http://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1,2.0,French,UK,,400000.0,2015.0,0.0,7.7,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,William Gazecki,15.0,115.0,3.0,0.0,Colin Andrews,0.0,,Documentary,Karen Alexander,Crop Circles: Quest for Truth ,204.0,0.0,Francine Blake,0.0,crop circle|intelligence|paranormal|phenomenon|universe,http://www.imdb.com/title/tt0331225/?ref_=fn_tt_tt_1,13.0,English,USA,,750000.0,2002.0,0.0,7.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Lance McDaniel,,90.0,0.0,271.0,Steven Michael Quezada,595.0,,Action|Drama|Thriller,Russell Wong,Light from the Darkroom ,6.0,1754.0,Lymari Nadal,0.0,china|faith|panama|photography|suspense,http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1,1.0,English,USA,PG-13,600000.0,2014.0,412.0,8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Thomas Lilti,18.0,102.0,12.0,2.0,Félix Moati,541.0,,Comedy|Drama,François Cluzet,Irreplaceable ,389.0,553.0,Marianne Denicourt,2.0,doctor|hospital|mayor|no opening credits|title at the end,http://www.imdb.com/title/tt5078326/?ref_=fn_tt_tt_1,1.0,French,France,,,2016.0,8.0,7.2,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Michael Walker,8.0,98.0,5.0,233.0,Annabella Sciorra,587.0,,Thriller,Paula Garcés,The Maid's Room ,719.0,1707.0,John Brodsky,0.0,,http://www.imdb.com/title/tt2263814/?ref_=fn_tt_tt_1,9.0,English,USA,,600000.0,2013.0,448.0,4.5,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Black and White,Richard Lester,105.0,87.0,44.0,704.0,Ringo Starr,785.0,515005.0,Comedy|Musical,Paul McCartney,A Hard Day's Night ,31429.0,2538.0,George Harrison,1.0,boy|concert|drummer|manager|television,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219.0,English,UK,Approved,560000.0,1964.0,725.0,7.7,1.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,U. Roberto Romano,3.0,80.0,6.0,,,,2245.0,Documentary,,The Harvest/La Cosecha ,57.0,0.0,,0.0,child labor|education|hispanic|labor|migration,http://www.imdb.com/title/tt1981703/?ref_=fn_tt_tt_1,2.0,English,USA,,560000.0,2011.0,,7.2,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Amy Holden Jones,4.0,88.0,11.0,221.0,Sally Kirkland,2000.0,,Drama|Romance,Jamie Lee Curtis,Love Letters ,487.0,2996.0,Amy Madigan,1.0,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,http://www.imdb.com/title/tt0085871/?ref_=fn_tt_tt_1,9.0,English,USA,R,550000.0,1983.0,433.0,6.1,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Blaz Zavrsnik,2.0,83.0,0.0,0.0,Spela Colja,0.0,,Comedy,Dario Nozic Serini,Julija in alfa Romeo ,86.0,0.0,Andrej Nahtigal,6.0,,http://www.imdb.com/title/tt4374230/?ref_=fn_tt_tt_1,2.0,Slovenian,Slovenia,,500000.0,2015.0,0.0,6.4,2.35,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Alex Kendrick,50.0,122.0,589.0,150.0,Ken Bevel,848.0,33451479.0,Drama|Romance,Kirk Cameron,Fireproof ,17068.0,1164.0,Erin Bethea,0.0,christian film|dare|firefighter|internet pornography|marriage,http://www.imdb.com/title/tt1129423/?ref_=fn_tt_tt_1,215.0,English,USA,PG,500000.0,2008.0,153.0,6.5,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Pan Nalin,19.0,115.0,95.0,0.0,Pant Shirt Baba,0.0,,Biography|Documentary|Drama,Bhole Baba,Faith Connections ,113.0,0.0,Shriman Umeshanad Brahmachari,1.0,faith|ganja|kumbh mela|little boy|orphan,http://www.imdb.com/title/tt2768766/?ref_=fn_tt_tt_1,3.0,Hindi,India,,550000.0,2013.0,0.0,7.0,1.85,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Joe Camp,5.0,86.0,24.0,142.0,Peter Breck,407.0,39552600.0,Adventure|Family|Romance,Frances Bavier,Benji ,3411.0,1090.0,Edgar Buchanan,0.0,animal abuse|cat|dog|dog movie|tween girl,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,36.0,English,USA,G,500000.0,1974.0,189.0,6.1,1.85,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Chris Kentis,235.0,79.0,9.0,7.0,Saul Stein,48.0,30500882.0,Adventure|Biography|Drama|Horror|Thriller,Blanchard Ryan,Open Water ,42256.0,67.0,Daniel Travis,1.0,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,http://www.imdb.com/title/tt0374102/?ref_=fn_tt_tt_1,916.0,English,USA,R,500000.0,2003.0,10.0,5.7,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Matt Walsh,8.0,87.0,490.0,201.0,Matt Jones,833.0,,Comedy,Joe Lo Truglio,High Road ,1305.0,2295.0,Abby Elliott,6.0,,http://www.imdb.com/title/tt1692084/?ref_=fn_tt_tt_1,3.0,English,USA,R,,2011.0,523.0,5.4,,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,John 'Bud' Cardos,95.0,97.0,8.0,22.0,Hoke Howell,423.0,17000000.0,Horror|Sci-Fi,Woody Strode,Kingdom of the Spiders ,3274.0,516.0,Tiffany Bolling,0.0,death|farm|hotel|spider|tarantula,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,84.0,English,USA,PG,500000.0,1977.0,23.0,5.9,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Marilyn Agrelo,84.0,105.0,2.0,0.0,Eva Carrozza,0.0,8044906.0,Documentary|Family|Music,Heather Berman,Mad Hot Ballroom ,3156.0,0.0,Paul Daggett,2.0,ballroom dancing|new york city|poise|self confidence|teacher,http://www.imdb.com/title/tt0438205/?ref_=fn_tt_tt_1,65.0,English,USA,PG,,2005.0,0.0,7.5,1.85,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Tom McCarthy,154.0,89.0,310.0,587.0,Joe Lo Truglio,22000.0,5739376.0,Comedy|Drama,Peter Dinklage,The Station Agent ,58260.0,24419.0,Paula Garcés,0.0,abandoned|depot|dwarf|newfoundland new jersey|train,http://www.imdb.com/title/tt0340377/?ref_=fn_tt_tt_1,286.0,English,USA,R,500000.0,2003.0,833.0,7.7,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Brian Baugh,20.0,120.0,3.0,234.0,Sean Michael Afable,984.0,3773863.0,Drama,Randy Wayne,To Save a Life ,4583.0,2563.0,D. David Morin,1.0,basketball|beer pong|childhood friend|christian|suicide,http://www.imdb.com/title/tt1270286/?ref_=fn_tt_tt_1,55.0,English,USA,PG-13,1000000.0,2009.0,801.0,7.1,2.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Patrick Creadon,88.0,94.0,3.0,2.0,Bill Clinton,196.0,3117666.0,Documentary,Ken Burns,Wordplay ,3394.0,382.0,Bob Dole,0.0,comedian|crossword puzzle|editor|new york times|puzzle,http://www.imdb.com/title/tt0492506/?ref_=fn_tt_tt_1,43.0,English,USA,PG,,2006.0,184.0,7.4,1.66,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Barry W. Blaustein,70.0,108.0,6.0,43.0,Vince McMahon,54.0,2047570.0,Biography|Documentary|Sport,Terry Funk,Beyond the Mat ,6790.0,194.0,Mick Foley,3.0,championship|drugs|three word title|wrestler|wrestling,http://www.imdb.com/title/tt0218043/?ref_=fn_tt_tt_1,80.0,English,USA,R,500000.0,1999.0,44.0,7.6,1.85,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Kurt Hale,5.0,102.0,0.0,15.0,Lincoln Hoppe,69.0,1250798.0,Comedy|Drama|Romance,Kirby Heyborne,The Singles Ward ,1099.0,161.0,Daryn Tufts,0.0,church|love|marriage|mormon|single,http://www.imdb.com/title/tt0306069/?ref_=fn_tt_tt_1,53.0,English,USA,PG,500000.0,2002.0,24.0,6.4,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Siddiq Barmak,105.0,83.0,6.0,0.0,Zubaida Sahar,30.0,1127331.0,Drama,Marina Golbahari,Osama ,7559.0,30.0,Mohamad Haref Harati,1.0,boy|girl|hair|school|taliban,http://www.imdb.com/title/tt0368913/?ref_=fn_tt_tt_1,77.0,Dari,Afghanistan,PG-13,46000.0,2003.0,0.0,7.4,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Joseph Dorman,29.0,93.0,0.0,59.0,Peter Riegert,399.0,906666.0,Documentary,Rachel Dratch,Sholem Aleichem: Laughing in the Darkness ,154.0,660.0,Jason Kravits,1.0,jewish identity,http://www.imdb.com/title/tt1976608/?ref_=fn_tt_tt_1,5.0,English,USA,Unrated,500000.0,2011.0,169.0,6.8,16.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Greg Harrison,46.0,86.0,7.0,17.0,Ari Gold,328.0,1114943.0,Drama|Music,Rachel True,Groove ,3562.0,407.0,Denny Kirkwood,0.0,dj|ecstasy the drug|rave|raver|warehouse,http://www.imdb.com/title/tt0212974/?ref_=fn_tt_tt_1,74.0,English,USA,R,500000.0,2000.0,27.0,6.5,1.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Kurt Hale,3.0,101.0,0.0,17.0,Big Budah,69.0,1111615.0,Comedy|Crime|Family,Kirby Heyborne,The R.M. ,651.0,155.0,Curt Doussett,0.0,latter day saints|missionary|pickup truck|police|video camera,http://www.imdb.com/title/tt0341540/?ref_=fn_tt_tt_1,34.0,English,USA,PG,500000.0,2003.0,34.0,6.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Michael Polish,54.0,111.0,35.0,482.0,William Katt,980.0,985341.0,Drama,Sasha Alexander,Twin Falls Idaho ,3479.0,3166.0,Jon Gries,0.0,conjoined twins|independent film|low budget film|separation|twin,http://www.imdb.com/title/tt0162830/?ref_=fn_tt_tt_1,87.0,English,USA,R,500000.0,1999.0,505.0,7.3,1.85,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Jacob Aaron Estes,126.0,90.0,9.0,595.0,Scott Mechlowicz,710.0,603943.0,Crime|Drama,Rory Culkin,Mean Creek ,26407.0,2655.0,Trevor Morgan,0.0,boat|bully|dare|friend|river,http://www.imdb.com/title/tt0377091/?ref_=fn_tt_tt_1,154.0,English,USA,R,500000.0,2004.0,634.0,7.3,1.85,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Black and White,Morgan J. Freeman,17.0,86.0,204.0,474.0,Heather Matarazzo,659.0,334041.0,Crime|Drama|Romance,Edie Falco,Hurricane Streets ,1038.0,2322.0,Lynn Cohen,3.0,gang|new mexico|prison|smuggling|theft,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,21.0,English,USA,R,500000.0,1997.0,529.0,6.5,1.85,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Eric Schaeffer,25.0,98.0,71.0,658.0,Bill Duke,22000.0,295468.0,Comedy|Romance,Peter Dinklage,Never Again ,709.0,24382.0,Michael McKean,1.0,bar|gay bar|love|mother son relationship|new york,http://www.imdb.com/title/tt0244094/?ref_=fn_tt_tt_1,34.0,English,USA,R,500000.0,2001.0,1000.0,6.0,1.85,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Neema Barnette,11.0,91.0,21.0,469.0,LisaRaye McCoy,597.0,243347.0,Crime|Drama|Thriller,Monica Calhoun,Civil Brand ,553.0,2555.0,Clifton Powell,3.0,abuse of power|friendship|prison|prison guard|title directed by female,http://www.imdb.com/title/tt0326806/?ref_=fn_tt_tt_1,24.0,English,USA,R,500000.0,2002.0,485.0,5.3,1.85,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,Steve Buscemi,81.0,91.0,12000.0,213.0,Seymour Cassel,778.0,154077.0,Comedy|Drama,Kevin Corrigan,Lonesome Jim ,6884.0,1440.0,Mary Kay Place,0.0,bail|coma|dart board|indiana|ladder factory,http://www.imdb.com/title/tt0385056/?ref_=fn_tt_tt_1,53.0,English,USA,R,500000.0,2005.0,327.0,6.6,1.85,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
