color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Season,Episode,seriesID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jane Got a Gun,2015,R,29 Jan 2016,98 min,"Action, Drama, Western",Gavin O'Connor,"Brian Duffield, Anthony Tambakis, Joel Edgerton","Natalie Portman, Joel Edgerton, Ewan McGregor","Jane Got a Gun centers on Jane Hammond, who has built a new life with her husband Bill ""Ham"" Hammond after being tormented by the ultra-violent Bishop Boys outlaw gang. She finds herself in the gang's cross-hairs once again when Ham stumbles home riddled with bullets after dueling with the Boys and their relentless mastermind Colin. With the vengeful crew hot on Ham's trail, Jane has nowhere to turn but to her former fiancé Dan Frost for help in defending her family against certain destruction. Haunted by old memories, Jane's past meets the present in a heart-stopping battle for survival.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTgwNDk0NDkwMl5BMl5BanBnXkFtZTgwNzYyNjA3NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.9,"22,951",tt2140037,movie,26 Apr 2016,"$1,513,793",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Think Like a Man Too,2014,PG-13,20 Jun 2014,106 min,"Comedy, Romance",Tim Story,"Keith Merryman, David A. Newman, Steve Harvey","Kevin Hart, Gabrielle Union, Wendi McLendon-Covey","In the highly anticipated sequel, which was inspired by Steve Harvey's best-selling book Act Like a Lady, Think Like a Man, all the couples are back for a wedding in Las Vegas. But plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.",English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjE2NjMxNjU1OF5BMl5BanBnXkFtZTgwMTI1OTgxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.7,"21,862",tt2239832,movie,16 Sep 2014,"$65,182,182",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Whole Nine Yards,2000,R,18 Feb 2000,98 min,"Comedy, Crime",Jonathan Lynn,Mitchell Kapner,"Bruce Willis, Matthew Perry, Rosanna Arquette","Montreal, Canada. A down-on-his luck dentist, ""Oz"" Oseransky (Matthew Perry), discovers that his new neighbor is Jimmy ""The Tulip"" Tudeski (Bruce Willis), former mob-contract-killer-turned-police-informant upon whose head the Hungarian mob has put a steep price. Egged on by his loathsome wife, Sophie (Rosanna Arquette), Oz sets off to Chicago to let the mob know where The Tulip is and hopefully claim part of the reward.","English, French, Spanish",United States,6 nominations,https://m.media-amazon.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.7,"123,626",tt0190138,movie,27 Jul 2004,"$57,262,492",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footloose,1984,PG,17 Feb 1984,107 min,"Drama, Music, Romance",Herbert Ross,Dean Pitchford,"Kevin Bacon, Lori Singer, John Lithgow","Classic tale of teenage rebellion and repression features a delightful combination of dance choreography and realistic and touching performances. When teenager Ren McCormack and his family move from big-city Chicago to a small Midwestern town, he's in for a real case of culture shock. Though he tries hard to fit in, the streetwise Ren can't quite believe he's living in a place where rock music and dancing are illegal. However, there is one small pleasure: Ariel Moore, a troubled but lovely blonde with a jealous boyfriend. And a Bible-thumping minister, who is responsible for keeping the town dance-free. Ren and his classmates want to do away with this ordinance, especially since the senior prom is around the corner, but only Ren has the courage to initiate a battle to abolish the outmoded ban and revitalize the spirit of the repressed townspeople. Fast-paced drama is filled with such now-famous hit songs as the title track and ""Let's Hear It for the Boy"".",English,United States,Nominated for 2 Oscars. 2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BYTE2NjQ1MjQtOTdmNi00NjJmLWJlYTItNmFhYzBmMWM4NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.6,"84,522",tt0087277,movie,08 Oct 2002,"$80,035,402",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old School,2003,R,21 Feb 2003,88 min,Comedy,Todd Phillips,"Court Crandall, Todd Phillips, Scot Armstrong","Luke Wilson, Vince Vaughn, Will Ferrell","Mitch, Frank and Beanie are disillusioned with their personal lives beginning when Mitch's nymphomaniac girlfriend, Heidi, cheats on him, then former party animal Frank gets married, but unwilling to let go of his wild life, and Beanie is a family man seeking to reclaim his wild and crazy youth. Beanie suggests that they form their own fraternity in Mitch's new house on a college campus to re-live their glory days by bringing together a variety of misfit college students, losers, middle-aged and elderly retirees as their new friends and later try to avoid being evicted by the new Dean of Students, Pritchard, whom still holds a personal grudge against all three of them.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BN2VjNDQ4MDctMDY3Yy00MmZmLTlhM2MtMWE4NjJhZTlmNTAxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.0,"235,728",tt0302886,movie,10 Jun 2003,"$75,585,093",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fisher King,1991,R,27 Sep 1991,137 min,"Comedy, Drama, Fantasy",Terry Gilliam,Richard LaGravenese,"Jeff Bridges, Robin Williams, Adam Bryant","Jack Lucas was once a famous, arrogant and egotistical New York City call-in radio talk show host. Largely self-inflicted due to remorse and grief, Jack goes on a quick downward spiral, both personally and professionally, after a glib comment he makes to one of his regular callers results in that caller going on a murder spree. Three years later, the only emotional and financial support a despondent Jack receives is from his current video store owning girlfriend, Anne. When Jack hits rock bottom, he meets a seemingly crazy and homeless man calling himself Parry. Parry does have mental health issues, namely hallucinations centered around the story of the Fisher King, which is why he has an obsession with obtaining the Holy Grail. When Jack learns of Parry's own background and the reason he got to where he is, Jack feels he needs to be part of Parry's salvation. He figures the way to do so is to connect Parry with Lydia Sinclair, a shy and uncoordinated woman who Parry loves from afar. In doing so, Jack may himself be able to recapture his old life back. But if he does, he may not realize that he was no saint in that former life.",English,United States,Won 1 Oscar. 14 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BOGZmMDM1NTQtMzc0Yi00ODRiLWJjYjQtMGRmYWRlOTY2ODMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.5,"87,311",tt0101889,movie,29 Nov 2001,"$41,895,491",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,I Still Know What You Did Last Summer,1998,R,13 Nov 1998,100 min,"Horror, Mystery, Thriller",Danny Cannon,"Lois Duncan, Trey Callaway","Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood","Ever since killing the Fisherman one year ago, Julie James is still haunted by images of him after her, causes her relationship with Ray Bronson to suffer further. When her best friend Karla Wilson wins free tickets to the Bahamas, Julie finds this a perfect opportunity to finally relax. But someone is waiting for her. Someone who she thought was dead. Someone who is out again for revenge.",English,"United States, Mexico",5 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BNzMwM2ZhZjktZTMwMS00NzA2LWIyMDctMGZhNjNiYjQ4NTJmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,4.7,"75,799",tt0130018,movie,07 Aug 2001,"$40,002,112",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Return to Me,2000,PG,07 Apr 2000,115 min,"Comedy, Drama, Romance",Bonnie Hunt,"Bonnie Hunt, Don Lake, Andrew Stern","David Duchovny, Minnie Driver, Carroll O'Connor","The film opens with a loving husband and wife preparing for a very important fund raising dinner. The evening ends with the loss of the wife. In a hospital a weak young woman who may die soon if she can not get a new heart. Jump ahead one year the young woman received a heart and is trying to adjust to a life no longer counted by hours or days, she can actually make plans. The grieving husband and his dog are still trying to adjust to life without his wife. His friends keep trying to pry him from his ""work is my life"" existence by setting him up on blinds dates. Finally he actually shows up for one at an Irish-Italian restaurant where he finds himself more attracted to the waitress than his blind date. He finds an excuse to return to the restaurant in hopes of seeing the waitress again, there's just something attractive about her. Unknown to both the attraction they both feel for one another is Grace has the heart of Bob's dead wife. What can you say after that! Carroll O'Connor says exactly the right thing to Bob after he finds out this ironic coincidence.","English, Italian",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjIwNDEzODU3Nl5BMl5BanBnXkFtZTcwMjI0NzU2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.9,"21,684",tt0122459,movie,13 Nov 2001,"$32,722,798",Metro-Goldwyn-Mayer,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zack and Miri Make a Porno,2008,R,31 Oct 2008,101 min,"Comedy, Romance",Kevin Smith,Kevin Smith,"Seth Rogen, Elizabeth Banks, Craig Robinson","Zack and Miri are two lifelong platonic friends who make an adult film to pay the rent of their apartment. With their friend Delaney, the couple set out for auditionees for their porn film, but in the process of filming, they realize they feel more for each other than they had before.",English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BY2I1N2Y0ODEtNzZmZS00NzBjLWFkZjEtMTVkOTY1Y2UzZGE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.5,"179,498",tt1007028,movie,03 Feb 2009,"$31,457,946",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nurse Betty,2000,R,08 Sep 2000,110 min,"Comedy, Crime, Drama",Neil LaBute,"John C. Richards, James Flamberg","Renée Zellweger, Morgan Freeman, Chris Rock","Kansas City waitress, Betty (Renée Zellweger), with dreams of becoming a nurse, becomes delusional after seeing her no-good car salesman husband murdered. Becoming delusional from shock, she becomes convinced that she is the former fiancée of her soap opera idol. What she also believes is that the soap opera is real and goes to Los Angeles, California to find the hospital where he works as a cardiologist. Meanwhile, her husband's murderers are searching for the drugs stolen by her husband and, as luck would have it, they are stored in the trunk of the car in which she drove off. Charlie (Morgan Freeman), an aging hitman planning his retirement after this job, also becomes delusional about the woman he is tracking.","Italian, English, Spanish","Germany, United States",5 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BYjU2OGVhYjgtYWE3Zi00MzM5LWEwYjgtYjQxNzkxNzhhZGFjXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.3,"35,576",tt0171580,movie,23 May 2006,"$25,170,054",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Men Who Stare at Goats,2009,R,06 Nov 2009,94 min,"Comedy, War",Grant Heslov,"Jon Ronson, Peter Straughan","Ewan McGregor, George Clooney, Kevin Spacey","A reporter, trying to lose himself in the romance of war after his marriage fails, gets more than he bargains for when he meets a special forces agent who reveals the existence of a secret, psychic military unit whose goal is to end war as we know it. The founder of the unit has gone missing and the trail leads to another psychic soldier who has distorted the mission to serve his own ends.","English, Arabic","United States, United Kingdom",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjIwOTQwNzg1MV5BMl5BanBnXkFtZTcwODc4MDU4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.2,"134,515",tt1234548,movie,23 Mar 2010,"$32,428,195",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double Take,2001,PG-13,12 Jan 2001,88 min,"Action, Comedy, Crime",George Gallo,"Graham Greene, Guy Elmes, Denis Freeman","Orlando Jones, Eddie Griffin, Gary Grubbs","The governor of a Mexican state is assassinated. Soon after, junior executive Daryl Chase's life turns upside down: after he flags a huge transfer of funds from a Mexican account as probably illegal, he's attacked in his apartment, rescued by a CIA agent, finds his secretary shot dead, and witnesses two cops get killed. He calls the CIA guy who tells him to grab the next train to Mexico. Leaving Manhattan, Daryl can't shake a jive-talking street punk named Freddy, and soon he's traded clothes with Freddy to escape the police. Within days, his girlfriend, his boss, his client, Freddy, the FBI, and the dead governor's dog are tangled in a web of deceit and danger. Who's who?","English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BYTkwMTZmNmEtYzc0NS00MWVjLThjOGYtZmFlZDE4MzY3YzRkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.4,"8,590",tt0238948,movie,13 Jan 2004,"$29,831,583",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Girl, Interrupted",1999,R,14 Jan 2000,127 min,"Biography, Drama",James Mangold,"Susanna Kaysen, James Mangold, Lisa Loomer","Winona Ryder, Angelina Jolie, Clea DuVall","In 1967, Susanna Kaysen had a headache and chased a bottle of aspirin with a bottle of vodka. This landed her in the mental institution, Claymoore. Here she is diagnosed, by Dr. Melvin Potts, with borderline personality disorder. When she arrives at Claymoore, she is greeted by Nurse Valerie Owens and shown round the woman's ward. Here she meets Georgina Tuskin, a pathological liar who is fixated with The Wizard of Oz; Polly Clark, a childlike schizophrenic; Janet Webber, a sardonic anorexic patient; Daisy Randone, a girl who won't let anyone in her room, and only eats her father's chicken; and Lisa Rowe, a sociopath who controls the other patients, and makes lives hard for the nurses at Claymoore. Through the movie, Lisa gains and loses control over Susanna and we see how bad she really can be. The movie's ending shows Susanna being released from Claymoore after an 18-month stay. How does Susanna take back her control? This movie battles subjects such as mental heath, abuse, self-harm and suicide.",English,"United States, Germany",Won 1 Oscar. 9 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNzdjZDYwM2QtMGNlZS00MGQzLTlhMjctYTU4NWI5MWJlYmQwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.3,"194,869",tt0172493,movie,04 Feb 2003,"$28,912,646",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win a Date with Tad Hamilton!,2004,PG-13,23 Jan 2004,95 min,"Comedy, Romance",Robert Luketic,Victor Levin,"Kate Bosworth, Josh Duhamel, Topher Grace","Rosalee Futch is a grocery clerk living in rural West Virginia. But even a small-town girl can have big dreams, and Rosalee's is to someday--somehow--meet her big-screen idol Tad Hamilton. The somehow arrives in the form of a contest--the grand prize: a date with Tad Hamilton--and the someday is now. Rosalee wins, much to the chagrin of her best friend and co-worker Pete, who is deeply, hopelessly--and secretly--in love with Rosalee. The Win a Date contest was cooked up by Tad's agent, Richard Levy, and his manager, also named Richard Levy, to clean up Tad's bad-boy image. Someone should have told them to be careful what you wish for. When Tad meets Rosalee and gets a taste of what he's been missing in the real world, he decides he wants seconds and moves to West Virginia, turning Rosalee's dream come true into a nightmare for Richard Levy, Richard Levy and, most of all, Pete.",English,United States,8 nominations,https://m.media-amazon.com/images/M/MV5BMTM0ODcyNjA4NF5BMl5BanBnXkFtZTcwMjM3NjQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,5.6,"28,547",tt0335559,movie,23 Aug 2005,"$17,071,962",N/A,N/A,True,,,,
