color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girl House,2014,Not Rated,14 Feb 2015,101 min,"Horror, Thriller","Jon Knautz, Trevor Matthews",Nick Gordon,"Ali Cobrin, Adam DiMarco, George Carroll","A young college student desperate for tuition money moves into a house that streams content to an X-rated website. After a deranged fan determines the house's location, she finds herself in a terrifying fight for her life.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTcyNzYyMTUwNF5BMl5BanBnXkFtZTgwMzIwMTIzNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,5.5,"9,254",tt2577172,movie,16 Feb 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,House at the End of the Drive,2014,R,11 Jan 2014,97 min,"Horror, Thriller",David Worth,"David Oman, Jim Vines","James Aaron Oliver, Jonathan Mangum, Alison Raimondi",Can a 46 year old mass-murder haunt four people enough to rip open a doorway to the past and catapult them back in time to the night of one of Hollywood's most horrible ritual slayings? The chatter of a quiet dinner party in posh Oxford Canyon is rudely interrupted as the real truths are set on the table. Fact and fiction intertwine as the couple's talk of ghosts and spirits from beyond which prompts them to take steps that will alter that night and their lives forever.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM5ODc3MDIzOF5BMl5BanBnXkFtZTcwNjEyMzUzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,393,tt0464054,movie,N/A,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lock, Stock and Two Smoking Barrels",1998,R,28 Aug 1998,107 min,"Action, Comedy, Crime",Guy Ritchie,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran","Four Jack-the-lads find themselves heavily - seriously heavily - in debt to an East End hard man and his enforcers after a crooked card game. Overhearing their neighbours in the next flat plotting to hold up a group of out-of-their-depth drug growers, our heroes decide to stitch up the robbers in turn. In a way the confusion really starts when a pair of antique double-barrelled shotguns go missing in a completely different scam.",English,United Kingdom,Won 1 BAFTA Award13 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,8.2,"589,144",tt0120735,movie,11 Mar 2008,"$3,753,929",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Ballad of Gregorio Cortez,1982,PG,19 Aug 1983,105 min,Western,Robert M. Young,"Américo Paredes, Victor Villaseñor, Robert M. Young","Edward James Olmos, James Gammon, Tom Bower","After he is accused of murdering a lawman in 1901 Texas, a Mexican-American farmer flees and manages to elude a large posse for two weeks before he is finally captured.","English, Spanish",United States,1 win,https://m.media-amazon.com/images/M/MV5BZDlhNTNjNWYtODA3NC00MDU1LWFhMTYtZGU0NTJmM2I4ODYyXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,505,tt3551840,movie,N/A,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Celebration,1998,R,19 Jun 1998,105 min,Drama,Thomas Vinterberg,"Thomas Vinterberg, Mogens Rukov","Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen","When a father turns 60, his large family gathers at a castle to celebrate him. Everybody likes and respects him deeply--or do they? The youngest son is trying to live up to his father's expectations; he runs a grill-bar in a dirty part of Copenhagen. The oldest son runs a restaurant in France; the sister is an anthropologist. The older sister has recently committed suicide and the father asks the oldest son to say a few words about her, because he is afraid he will break into tears if he does it himself. The oldest son agrees without argument. Actually he has already written two speeches. A yellow and a green one. At the table, he asks the father to pick a speech. The father chooses green. The oldest son announces that this is the Speech of Truth. Everybody laughs, except for the father, who looks nervous: he knows that his oldest son is about to reveal the secret of why his sister killed herself.","Danish, German, English","Denmark, Sweden",Nominated for 1 BAFTA Award28 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNzA5OWI3MGItMGU0OC00MDZkLWJiMDktOWJjZmFkYmEwZDkzXkEyXkFqcGdeQXVyNTk5Nzg1NjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.1,"88,892",tt0154420,movie,27 Jul 2004,"$1,656,223",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trees Lounge,1996,R,11 Oct 1996,95 min,"Comedy, Drama",Steve Buscemi,Steve Buscemi,"Steve Buscemi, Carol Kane, Mark Boone Junior","Things aren't going so well for Tommy Basilio. He lost his job because he ""borrowed"" money from the register, his girlfriend left him for his boss and is now pregnant, and he can't find work because of the incident. His life revolves around the Trees Lounge, a neighborhood bar over which he lives, full of the colorful eccentrics one finds in such places, like the estranged husband, or the old boozer drinking himself to death. He drunkenly wanders through his life, still in love with his ex, desperate for some sort of meaning beyond the bar, some sort of meaning to his life.",English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BYmM2OTQwOTktYTQyYi00NTY1LWJmOGUtZWE0N2QwZWQ3YWU5XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.1,"16,826",tt0117958,movie,26 Mar 2002,"$749,741",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eddie: The Sleepwalking Cannibal,2012,Not Rated,05 Apr 2013,90 min,"Comedy, Horror",Boris Rodriguez,"Boris Rodriguez, Jonathan Rannells, Alex Epstein","Thure Lindhardt, Georgina Reilly, Dylan Smith","Lars Olafssen, once a young celebrity in the art world is slipping away fast into the land of has-beens. His long-time art dealer, Ronny, is now an ungracefully aging hipster who desperately wants his meal ticket back. But Lars refuses to paint. His creativity comes at too high a cost - his inspiration is carnage - blood, guts and limbs. Not surprisingly, this lead to a dreadful breakdown in the past. Nevertheless, an eager Ronny arranges a teaching job for Lars at an art school in Koda Lake, a small Canadian town in the middle of nowhere. It's a ""therapeutic"" measure for Lars - a means to conquer his need to paint in the ""safety"" of a country retreat... That is, until Eddie comes into his life.",English,"Canada, Denmark",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTcwMDA3NTUxM15BMl5BanBnXkFtZTcwNTQ0MDMzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.7,"1,505",tt1480658,movie,06 Aug 2013,"$1,632",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercury Rising,1998,R,03 Apr 1998,111 min,"Action, Crime, Drama",Harold Becker,"Ryne Douglas Pearson, Lawrence Konner, Mark Rosenthal","Bruce Willis, Miko Hughes, Alec Baldwin",Bruce Willis is an outcast FBI agent who protects a 9 year old autistic boy who is the target for assassins after cracking a top secret government code.,English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BODA2NmY4NDEtNjk1Yi00NmI1LTgwMjEtYWZmMjRmMDUyMTlkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.1,"75,620",tt0120749,movie,12 Apr 2005,"$32,935,289",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space: Above and Beyond,1995–1996,N/A,24 Sep 1995,60 min,"Action, Adventure, Drama",N/A,"Glen Morgan, James Wong","Morgan Weisser, Kristen Cloke, Rodney Rowland","The Earth is embroiled in a desperate war against alien invaders, and this series focuses on one squadron of Marine pilots involved in it.",English,"United States, Australia",Nominated for 2 Primetime Emmys. 3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTI3MTMxNTg2M15BMl5BanBnXkFtZTcwMjkzMTIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"8,352",tt0112173,series,,,,,True,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurmanjan datka,2014,PG-13,06 Jan 2015,135 min,"Action, Biography, Drama",Sadyk Sher-Niyaz,"Sadyk Sher-Niyaz, Bakytbek Turdubaev, Bakyt Turdubayev","Elina Abai Kyzy, Nasira Mambetova, Jamal Seidakmatova","The historical, epic drama, set in 19th century Central Asia, tells the true story of Kurmanjan Datka, a strong willed woman, who becomes the ruler of her country and saves the nation from total destruction. As a young woman she is forced into an arranged marriage but escapes, flees to the mountains and falls in love with the local chief Alymbek, whom she marries. When he is killed by political rivals, she becomes the ""queen of the mountains"" and a key figure and negotiator in the national struggle, when the Russians invade.","Kyrgyz, Russian",Kyrgyzstan,8 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjE0ODAxNDQ0MV5BMl5BanBnXkFtZTgwNzY1MDUyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"3,482",tt2640460,movie,N/A,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEFCON-4,1985,R,15 Mar 1985,88 min,"Action, Sci-Fi","Paul Donovan, Digby Cook, Tony Randel",Paul Donovan,"Lenore Zann, Maury Chaykin, Kate Lynch","Two men and a woman circle the globe in a satellite armed with a nuclear device. The third world war breaks out, and a few months later the satellite crashes. They survive the crash but one man gets killed by survivors and the other man gets caught. The woman stays by the remains of the the satellite but is soon caught by evil punks who have taken power.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BNDJkZThiZjYtNmViNy00N2I4LWFkYmYtNTM3NzdiMGFiMjFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,"2,091",tt0087130,movie,13 Dec 2011,"$1,057,064",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neal 'n' Nikki,2005,Not Rated,09 Dec 2005,122 min,"Comedy, Musical, Romance",Arjun Sablok,"Arjun Sablok, Anvita Dutt","Uday Chopra, Tanishaa Mukerji, Abhishek Bachchan","Take a joyride with Neal (Uday Chopra) and Nikki (Tanisha) as they travel all across Canada to find what they want most. Neal just wants what all guys want - to have a deep, meaningful relationship, full of conversation and shopping - NOT. For him it is pretty simple - Canada is full of hot women, and he has that little ""lost boy"" charm that they love so much. So if they want to take him home, and cuddle him - well why should HE complain? After all he has just 21 days before he has to waves farewell to his bachelor life. LIVE IT UP. It's a little more complex with Nikki - First there is Trish, then there are all these jobs she keeps quitting and then there's the fact that - Well, she's hot, she is sexy, so why not have some fun? She's going to do whatever she wants to do - so everyone out of her way. In a journey that takes them all over British Columbia in Canada, they both begin to realize that maybe what they were looking for was sitting right next to them, all this time. But hey - Don't be so sure. After all it's Neal. It's Nikki. And it's going to be quite a trip.","English, Hindi, French",India,N/A,https://m.media-amazon.com/images/M/MV5BMTBlMmUyNzctMjg1Ni00NTdlLWI2MmMtZjEyNTM2ZTMyN2VjXkEyXkFqcGdeQXVyODY3NzQyNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,"1,699",tt0470869,movie,02 Mar 2017,"$111,551",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forget Me Not,2009,R,03 Aug 2011,103 min,"Horror, Romance, Thriller",Tyler Oliver,"Jamieson Stern, Tyler Oliver","Carly Schroeder, Cody Linley, Brie Gabrielle","It's graduation weekend, and Sandy Channing, the popular class president of her small-town high school, should be enjoying the time of her life. But when her friends start disappearing, Sandy discovers they have unwittingly awakened the vengeful spirit of a girl they wronged long ago. Fighting for her sanity, Sandy must unlock a dark secret from her own past before it's too late.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU2NDAwNjc2Ml5BMl5BanBnXkFtZTcwNDU0ODk1Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,"6,291",tt1147684,movie,24 May 2011,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebecca,1940,Approved,12 Apr 1940,130 min,"Drama, Film-Noir, Mystery",Alfred Hitchcock,"Daphne Du Maurier, Robert E. Sherwood, Joan Harrison","Laurence Olivier, Joan Fontaine, George Sanders","A shy lady's companion, staying in Monte Carlo with her stuffy employer, meets the wealthy Maxim de Winter (Sir Laurence Olivier). She and Max fall in love, marry, and return to Manderley, his large country estate in Cornwall. Max is still troubled by the death of his first wife, Rebecca, in a boating accident the year before. The second Mrs. de Winter (Joan Fontaine) clashes with the housekeeper, Mrs. Danvers (Dame Judith Anderson), and discovers that Rebecca still has a strange hold on everyone at Manderley.","English, French",United States,Won 2 Oscars. 7 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,8.1,"139,758",tt0032976,movie,14 Oct 2008,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday the 13th Part 2,1981,R,01 May 1981,87 min,"Horror, Mystery, Thriller",Steve Miner,"Ron Kurz, Victor Miller, Sean S. Cunningham","Betsy Palmer, Amy Steel, John Furey","Months after Alice beheaded psycho killer/mother Pamela Voorhees at Camp Crystal Lake, survivor Alice is still traumatized because of the murders. But there is one problem: Mrs. Voorhees' son Jason never drowned and died, so he saw Alice behead Mrs. Voorhees. Jason finds Alice soon and murders her. Five years later, a camp counselor-in-training program begins at Packanack Lodge, right near Camp Crystal Lake. As teenagers in the program start snooping around Camp Crystal Lake, they start getting killed violently one by one.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BYTZmMjk1ZjAtZjg0Yy00MWIyLWI5NmYtMThlYmU3NTc2NzdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,6.1,"71,432",tt0082418,movie,03 Feb 2009,"$21,722,776",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lost Weekend,1945,Passed,01 Jan 1946,101 min,"Drama, Film-Noir",Billy Wilder,"Charles R. Jackson, Charles Brackett, Billy Wilder","Ray Milland, Jane Wyman, Phillip Terry","Don Birnam, long-time alcoholic, has been ""on the wagon"" for ten days and seems to be over the worst; but his craving has just become more insidious. Evading a country weekend planned by his brother Wick and girlfriend Helen, he begins a four-day bender. In flashbacks we see past events, all gone wrong because of the bottle. But this bout looks like being his last...one way or the other.",English,United States,Won 4 Oscars. 16 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTk4NDQ0NjgyNF5BMl5BanBnXkFtZTgwMTE3NTkxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.9,"38,305",tt0037884,movie,01 Feb 2005,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.H.U.D.,1984,R,31 Aug 1984,88 min,"Horror, Sci-Fi",Douglas Cheek,"Parnell Hall, Shepard Abbott, Christopher Curry","John Heard, Daniel Stern, Christopher Curry","A rash of bizarre murders in New York City seems to point to a group of grotesquely deformed vagrants living in the sewers. A courageous policeman, a photo journalist and his girlfriend, and a nutty bum, who seems to know a lot about the creatures, band together to try and determine what the creatures are and how to stop them.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzVlODkxY2YtNTliMC00MmQwLTkzNmQtYzM5ZGNiZDlmNTU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.6,"13,134",tt0087015,movie,30 Jan 2001,"$4,654,423",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lion of Judah,2011,PG,07 Jun 2011,87 min,Animation,"Deryck Broom, Roger Hawkins","Brent Dawes, Edward James, Kurt Kelly","Ernest Borgnine, Anupam Kher, Sandi Patty","Follow the adventures of a bold lamb (Judah) and his stable friends as they try to avoid the sacrificial alter the week preceding the crucifixion of Christ. It is a heart-warming account of the Easter story as seen through the eyes of a lovable pig (Horace), a faint-hearted horse (Monty), a pedantic rat (Slink), a rambling rooster (Drake), a motherly cow (Esmay) and a downtrodden donkey (Jack). This magnificent period piece with its epic sets is a roller coaster ride of emotions. Enveloped in humor, this quest follows the animals from the stable in Bethlehem to the great temple in Jerusalem and onto the hillside of Calvary as these unlikely heroes try to save their friend. The journey weaves seamlessly through the biblical accounts of Palm Sunday, Jesus turning the tables in the temple, Peter's denial and with a tense, heart-wrenching climax, depicts the crucifixion and resurrection with gentleness and breathtaking beauty. For Judah, the lamb with the heart of a lion, it is a story of courage and faith. For Jack, the disappointed donkey, it becomes a pivotal voyage of hope. For Horace, the, well the dirty pig, and Drake the ignorant rooster, it is an opportunity to do something inappropriate and get into trouble.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQyNTk3NjIzMF5BMl5BanBnXkFtZTcwMTk0ODQ0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,3.4,657,tt1212022,movie,27 Mar 2012,N/A,Rocky Mountain Pictures,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niagara,1953,Not Rated,01 Feb 1953,92 min,"Film-Noir, Thriller",Henry Hathaway,"Charles Brackett, Walter Reisch, Richard L. Breen","Marilyn Monroe, Joseph Cotten, Jean Peters","George and Rose Loomis are honeymooning at a Niagara Falls motel. She plots with Ted Patrick to do him in, but all does not go smoothly. For one thing, after Loomis is reported missing Polly Cutler spies him at the motel but her husband Bud thinks she's imagining it. Marilyn sings ""Kiss.""",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDBhNWE4Y2UtMTA5Mi00YzYyLTliMWMtMjc3OGU0ZWFiMGVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,7.0,"18,446",tt0046126,movie,18 Oct 2005,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,How Green Was My Valley,1941,Passed,09 Apr 1942,118 min,"Drama, Family",John Ford,"Philip Dunne, Richard Llewellyn","Walter Pidgeon, Maureen O'Hara, Anna Lee","Life is hard in a Welsh mining town and no less so for the Morgan family. Seen through the eyes of the family's youngest, Huw, we learn of the family's trials and tribulations. Family patriarch Gwilym and his older sons work in the mines, dangerous and unhealthy as it is. Gwilym has greater hopes for his youngest son, but Huw has his own ideas on how to honor his father. Daughter Angharad is the most beautiful girl in the valley and is very much in love with Mr. Gruffydd, who isn't sure he can provide her the life she deserves. Times are hard and good men find themselves out of work and exploited by unseen mine owners.","English, Welsh",United States,Won 5 Oscars. 13 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1YWRmMWEtYTQ0Yy00NGEwLWFmNzAtZDkwOWNjMzkwYzJmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.7,"24,921",tt0033729,movie,07 Mar 2000,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Girlfriend Experience,2016–,TV-MA,10 Apr 2016,27 min,Drama,N/A,"Lodge Kerrigan, Amy Seimetz, Anja Marquardt","Riley Keough, Paul Sparks, Julia Goldani Telles","Based on Steven Soderbergh's 2009 movie of the same title, this anthology series is set in Washington DC in the days leading up to the presidential election and centers on a high-end NYC escort, Christine (Riley Keough), who offers clients ""the girlfriend experience"" while leading a double life as a young attorney in training.","English, French",United States,3 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BNmZmZTc3ZjAtMWNmMC00ODdhLTljNDgtMTA3YWJiODQxOGMzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"11,146",tt3846642,series,,,,,True,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Da Sweet Blood of Jesus,2014,Not Rated,13 Jan 2015,123 min,"Comedy, Drama, Horror",Spike Lee,"Spike Lee, Bill Gunn, Vinnie LaRocksta","Stephen Tyrone Williams, Zaraah Abrahams, Rami Malek","Dr. Hess Green becomes cursed by a mysterious ancient African artifact and is overwhelmed with a newfound thirst for blood. He however is not a vampire. Soon after his transformation he enters into a dangerous romance with Ganja Hightower that questions the very nature of love, addiction, sex, and status.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg1NzY3MzkwNl5BMl5BanBnXkFtZTgwMDgxMTY0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,4.4,"1,854",tt3104930,movie,26 May 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saw,2004,R,29 Oct 2004,103 min,"Horror, Mystery, Thriller",James Wan,"Leigh Whannell, James Wan","Cary Elwes, Leigh Whannell, Danny Glover","Waking up in a bathroom, two men, Adam and Dr. Lawrence Gordon, discover they have been captured by the infamous Jigsaw Killer. The men must escape before time runs out, otherwise, they will face the deadly consequences.",English,United States,8 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BM2M1MzI1MWYtYmM2ZC00OWY3LTk0ZGMtNmRkNzU1NzEzMWE5XkEyXkFqcGdeQXVyODUwOTkwODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,7.6,"430,686",tt0387564,movie,15 Feb 2005,"$56,000,369",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Algerian,2014,N/A,07 Aug 2019,99 min,"Action, Romance, Thriller",Giovanni Zelko,"Ben Youcef, Giovanni Zelko","Ben Youcef, Candice Coke, Harry Lennix",Giovanni and the cast are extremely talented. I saw this film at a festival a few years ago and loved it !!,English,"United States, Algeria",24 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BYzM4Mzc2MTMtY2ZjZS00NjA0LTk4ZjEtMmVmZWI2ZWUyMGZlXkEyXkFqcGdeQXVyMjExMjI5NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,232,tt1681370,movie,01 Jan 2019,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Amazing Catfish,2013,Not Rated,04 Apr 2014,89 min,"Comedy, Drama",Claudia Sainte-Luce,Claudia Sainte-Luce,"Lisa Owen, Ximena Ayala, Sonia Franco","Claudia, a lonely young woman, works in a supermarket. One night, she ends up in the hospital with a severe case of appendicitis. There, she meets Martha, the woman resting in the bed next to hers. Martha, who lives alone with her four children, gains Claudia's trust. When she gets out of the hospital, she spontaneously offers Claudia to go home with them. Getting to know this family makes Claudia feel at ease. And for the first time she experiences a sense of belonging in this peculiar little tribe. As Martha's health weakens every day the bond Claudia has with each member of the family grows stronger.",Spanish,"Mexico, France",11 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMzUwMTA5OTk3N15BMl5BanBnXkFtZTgwMjU4MDA3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.0,"1,918",tt2414046,movie,30 Nov 2016,"$11,342",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monsoon Wedding,2001,R,26 Apr 2002,114 min,"Comedy, Drama, Romance",Mira Nair,Sabrina Dhawan,"Naseeruddin Shah, Lillete Dubey, Shefali Shah","A story set in the modern upper-middle class of India, where telecommunications and a western lifestyle mix with old traditions, like the arranged wedding young Aditi accepts when she ends the affair with a married TV producer. The groom is an Indian living in Texas, and all relatives from both families, some from distant places like Australia, come to New Delhi during the monsoon season to attend the wedding. The four-day arrangements and celebrations will see clumsy organization, family parties and drama, dangers to the happy end of the wedding, lots of music and even a new romance for the wedding planner Dubey with the housemaid Alice...","Hindi, English","India, United States, Italy, Germany, France, United Kingdom",Nominated for 1 BAFTA Award7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BZWMzMDJhMjgtZjk2NS00ZDM4LThmOGMtOTQzYWU3N2Y4Y2M2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.3,"26,086",tt0265343,movie,24 Sep 2002,"$13,885,966",N/A,N/A,True,,
